"Time","EventID","Source","Computer","Message","Details"
"2021-12-04T21:47:57.658Z",1,"Sysmon","APP01","Process Create:","Image: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE; CommandLine: ""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" --flag-2424 --config-7; User: ABYAH\mperez; ProcessId: 1520"
"2021-09-07T22:41:44.658Z",4776,"Security-Auditing","DC01","The credential validation occurred.","Package: Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0; Account: Account Name: mperez; Computer: Computer Name: DC01"
"2021-03-23T13:21:17.259Z",1100,"Security-Auditing","DC01","Security event 1100 occurred.","Details: Event ID 1100 logged for WORKGROUP\User1"
"2021-02-12T11:38:16.926Z",6006,"System","HR-DESK-01","The Event log service was stopped.",""
"2021-02-18T09:53:40.733Z",1100,"Security-Auditing","HR-DESK-01","Security event 1100 occurred.","Details: Event ID 1100 logged for ABYAH\john.smith"
"2021-11-08T09:05:54.338Z",7,"Sysmon","DC02","Image loaded:","Image: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE; ImageLoaded: C:\Windows\System32\kernel32.dll; ProcessId: 7227"
"2021-04-22T08:44:59.799Z",6006,"System","CLIENT05","The Event log service was stopped.",""
"2021-03-15T12:17:59.755Z",10,"Sysmon","CLIENT01","Sysmon event 10",""
"2021-06-13T08:04:13.680Z",3,"Sysmon","DC02","Network connection detected:","Image: C:\Windows\System32\svchost.exe; User: ABYAH\mperez; DestinationIp: 10.0.0.1; DestinationPort: 443; Protocol: tcp"
"2021-03-08T23:35:34.369Z",8,"Sysmon","CLIENT02","Sysmon event 8",""
"2021-03-17T15:05:48.148Z",8,"Sysmon","CLIENT01","Sysmon event 8",""
"2021-07-13T19:29:33.357Z",3,"Sysmon","SQL01","Network connection detected:","Image: C:\Program Files\Google\Chrome\chrome.exe; User: ABYAH\svc_sql; DestinationIp: 13.107.42.14; DestinationPort: 80; Protocol: tcp"
"2021-05-14T05:29:00.839Z",1,"Sysmon","WEB01","Process Create:","Image: C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE; CommandLine: ""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"" --flag-5315 --config-9; User: ABYAH\ogarcia; ProcessId: 3927"
"2021-10-07T04:23:48.265Z",4634,"Security-Auditing","DEV-02","An account was logged off.","Target: Account Name: lnguyen"
"2021-08-01T03:59:23.999Z",1102,"Security-Auditing","CLIENT04","Security event 1102 occurred.","Details: Event ID 1102 logged for SYSTEM"
"2021-10-03T02:46:31.935Z",15,"Sysmon","CLIENT01","FileCreateStreamHash:","Image: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE; TargetFilename: C:\Users\NETWORK SERVICE\Downloads\setup_2.exe:Zone.Identifier"
"2021-03-09T16:55:38.533Z",10,"Sysmon","TEST-01","Sysmon event 10",""
"2021-08-17T14:07:15.330Z",10,"Sysmon","CLIENT05","Sysmon event 10",""
"2021-10-08T00:04:45.746Z",4624,"Security-Auditing","CLIENT01","An account was successfully logged on.","Subject: Security ID: S-1-5-18; Subject: Account Name: CLIENT01$; Subject: Account Domain: ABYAH; Logon: Logon Type: 2; New Logon: Account Name: User1; New Logon: Authentication Package: Negotiate; Network: Source Address: 172.16.0.1"
"2021-04-09T21:31:13.652Z",4624,"Security-Auditing","DEV-02","An account was successfully logged on.","Subject: Security ID: S-1-5-18; Subject: Account Name: DEV-02$; Subject: Account Domain: ABYAH; Logon: Logon Type: 8; New Logon: Account Name: ogarcia; New Logon: Authentication Package: NTLM; Network: Source Address: 192.168.1.30"
"2021-07-07T03:06:42.541Z",10,"Sysmon","DEV-01","Sysmon event 10",""
"2021-01-13T23:21:51.982Z",6013,"System","WEB01","The system uptime is 1933230 seconds.",""
"2021-07-06T08:29:15.995Z",4776,"Security-Auditing","APP01","The credential validation occurred.","Package: Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0; Account: Account Name: john.smith; Computer: Computer Name: APP01"
"2021-01-03T07:10:26.597Z",8,"Sysmon","TEST-01","Sysmon event 8",""
"2021-01-13T08:59:50.903Z",6013,"System","HR-DESK-01","The system uptime is 7733773 seconds.",""
"2021-05-07T01:37:47.655Z",1102,"Security-Auditing","EXCH01","Security event 1102 occurred.","Details: Event ID 1102 logged for ABYAH\svc_monitor"
"2021-09-28T16:10:03.620Z",6006,"System","DEV-01","The Event log service was stopped.",""
"2021-11-28T07:25:07.683Z",4672,"Security-Auditing","SQL01","Special privileges assigned to new logon.","Subject: Account Name: LOCAL SERVICE; Privileges: SeTcbPrivilege SeBackupPrivilege SeDebugPrivilege"
"2021-11-19T18:33:20.367Z",4624,"Security-Auditing","HR-DESK-02","An account was successfully logged on.","Subject: Security ID: S-1-5-18; Subject: Account Name: HR-DESK-02$; Subject: Account Domain: ABYAH; Logon: Logon Type: 8; New Logon: Account Name: User2; New Logon: Authentication Package: NTLM; Network: Source Address: 192.168.1.30"
"2021-08-11T02:00:29.736Z",3,"Sysmon","CLIENT03","Network connection detected:","Image: C:\Program Files\WindowsApps\...\RuntimeBroker.exe; User: ABYAH\asmith; DestinationIp: 13.107.42.14; DestinationPort: 80; Protocol: tcp"
"2021-06-03T07:23:18.261Z",4776,"Security-Auditing","APP01","The credential validation occurred.","Package: Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0; Account: Account Name: jane.doe; Computer: Computer Name: APP01"
"2021-01-22T17:19:59.779Z",1102,"Security-Auditing","DEV-02","Security event 1102 occurred.","Details: Event ID 1102 logged for ABYAH\lnguyen"
"2021-12-18T04:17:18.719Z",4672,"Security-Auditing","WEB01","Special privileges assigned to new logon.","Subject: Account Name: klee; Privileges: SeTcbPrivilege SeBackupPrivilege SeDebugPrivilege"
"2021-09-16T08:57:58.966Z",6006,"System","CLIENT02","The Event log service was stopped.",""
"2021-06-25T04:40:16.265Z",6013,"System","DC01","The system uptime is 7512769 seconds.",""
"2021-02-23T04:34:02.954Z",6013,"System","WEB01","The system uptime is 6294416 seconds.",""
"2021-05-12T01:57:22.315Z",4672,"Security-Auditing","DC02","Special privileges assigned to new logon.","Subject: Account Name: svc_sql; Privileges: SeTcbPrivilege SeBackupPrivilege SeDebugPrivilege"
"2021-10-24T04:59:59.342Z",11,"Sysmon","HR-DESK-02","File created:","Image: C:\Windows\explorer.exe; TargetFilename: C:\Users\ABYAH\john.smith\Documents\file_21.tmp; ProcessId: 3900"
"2021-05-06T22:06:24.993Z",1,"Sysmon","CLIENT01","Process Create:","Image: C:\Windows\explorer.exe; CommandLine: ""C:\Windows\explorer.exe"" --flag-1634 --config-8; User: ABYAH\svc_sql; ProcessId: 4644"
"2021-04-01T21:12:25.436Z",1100,"Security-Auditing","CLIENT01","Security event 1100 occurred.","Details: Event ID 1100 logged for ABYAH\rbrown"
"2021-07-22T17:21:01.218Z",4634,"Security-Auditing","DEV-02","An account was logged off.","Target: Account Name: klee"
"2021-02-20T13:22:46.905Z",7,"Sysmon","DC02","Image loaded:","Image: C:\Windows\System32\spoolsv.exe; ImageLoaded: C:\Windows\System32\user32.dll; ProcessId: 8149"
"2021-05-02T22:27:00.632Z",10,"Sysmon","EXCH01","Sysmon event 10",""
"2021-11-11T19:20:42.968Z",10,"Sysmon","SQL01","Sysmon event 10",""
"2021-06-13T22:18:35.230Z",6005,"System","HR-DESK-02","The Event log service was started.",""
"2021-07-18T00:19:18.315Z",6013,"System","CLIENT03","The system uptime is 7312326 seconds.",""
"2021-08-22T06:32:30.912Z",10,"Sysmon","IT-DESK-01","Sysmon event 10",""
"2021-11-21T19:21:05.938Z",15,"Sysmon","DEV-02","FileCreateStreamHash:","Image: C:\Program Files\Microsoft Edge\msedge.exe; TargetFilename: C:\Users\ABYAH\lnguyen\Downloads\setup_4.exe:Zone.Identifier"
"2021-04-16T19:54:49.174Z",3,"Sysmon","DC02","Network connection detected:","Image: C:\Program Files\Google\Chrome\chrome.exe; User: SYSTEM; DestinationIp: 142.250.80.46; DestinationPort: 3389; Protocol: tcp"
"2021-04-05T20:44:00.868Z",10,"Sysmon","HR-DESK-01","Sysmon event 10",""
"2021-08-02T17:15:58.968Z",1,"Sysmon","DEV-02","Process Create:","Image: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE; CommandLine: ""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" --flag-2988 --config-8; User: ABYAH\bwilson; ProcessId: 3184"
"2021-08-20T23:57:32.536Z",11,"Sysmon","CLIENT04","File created:","Image: C:\Windows\System32\winlogon.exe; TargetFilename: C:\Users\WORKGROUP\User2\Documents\file_71.tmp; ProcessId: 8305"
"2021-11-09T16:31:40.344Z",11,"Sysmon","CLIENT01","File created:","Image: C:\Windows\System32\lsass.exe; TargetFilename: C:\Users\ABYAH\klee\Documents\file_36.tmp; ProcessId: 8206"
"2021-06-18T02:08:09.336Z",6005,"System","CLIENT04","The Event log service was started.",""
"2021-07-11T17:29:26.163Z",4672,"Security-Auditing","HR-DESK-02","Special privileges assigned to new logon.","Subject: Account Name: abyah; Privileges: SeTcbPrivilege SeBackupPrivilege SeDebugPrivilege"
"2021-10-13T15:00:22.405Z",6013,"System","DC01","The system uptime is 6642890 seconds.",""
"2021-08-08T08:27:31.129Z",15,"Sysmon","CLIENT01","FileCreateStreamHash:","Image: C:\Windows\System32\winlogon.exe; TargetFilename: C:\Users\ABYAH\john.smith\Downloads\setup_7.exe:Zone.Identifier"
"2021-10-18T00:58:25.706Z",6013,"System","APP01","The system uptime is 9568926 seconds.",""
"2021-03-02T08:24:20.316Z",1,"Sysmon","IT-DESK-01","Process Create:","Image: C:\Program Files\WindowsApps\...\RuntimeBroker.exe; CommandLine: ""C:\Program Files\WindowsApps\...\RuntimeBroker.exe"" --flag-8449 --config-6; User: ABYAH\asmith; ProcessId: 6529"
"2021-08-01T23:34:03.458Z",8,"Sysmon","SQL01","Sysmon event 8",""
"2021-04-27T00:39:09.344Z",4634,"Security-Auditing","CLIENT01","An account was logged off.","Target: Account Name: NETWORK SERVICE"
"2021-12-09T11:10:38.721Z",4634,"Security-Auditing","IT-DESK-01","An account was logged off.","Target: Account Name: User1"
"2021-10-01T09:36:43.484Z",11,"Sysmon","WEB01","File created:","Image: C:\Program Files\Google\Chrome\chrome.exe; TargetFilename: C:\Users\ABYAH\lnguyen\Documents\file_51.tmp; ProcessId: 4249"
"2021-10-26T01:22:34.538Z",4776,"Security-Auditing","WEB01","The credential validation occurred.","Package: Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0; Account: Account Name: jdoe; Computer: Computer Name: WEB01"
"2021-08-04T13:23:40.948Z",1,"Sysmon","HR-DESK-02","Process Create:","Image: C:\Windows\explorer.exe; CommandLine: ""C:\Windows\explorer.exe"" --flag-8532 --config-3; User: SYSTEM; ProcessId: 8135"
"2021-08-15T13:52:46.706Z",1102,"Security-Auditing","TEST-01","Security event 1102 occurred.","Details: Event ID 1102 logged for ABYAH\klee"
"2021-04-25T14:36:39.784Z",4776,"Security-Auditing","IT-DESK-01","The credential validation occurred.","Package: Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0; Account: Account Name: LOCAL SERVICE; Computer: Computer Name: IT-DESK-01"
"2021-08-07T11:51:16.448Z",4624,"Security-Auditing","FILE01","An account was successfully logged on.","Subject: Security ID: S-1-5-18; Subject: Account Name: FILE01$; Subject: Account Domain: ABYAH; Logon: Logon Type: 10; New Logon: Account Name: svc_monitor; New Logon: Authentication Package: NTLM; Network: Source Address: 192.168.1.106"
"2021-02-08T23:26:31.668Z",7,"Sysmon","EXCH01","Image loaded:","Image: C:\Windows\System32\svchost.exe; ImageLoaded: C:\Windows\System32\ntdll.dll; ProcessId: 8800"
"2021-04-13T22:15:19.779Z",8,"Sysmon","CLIENT03","Sysmon event 8",""
